"filename", "language", "JSON", "TypeScript", "HTML", "CSS", "Markdown", "JavaScript", "JSON with Comments", "XML", "Docker", "Properties", "SCSS", "comment", "blank", "total"
"c:\Users\yongk\Desktop\programming\PeakVisor\PeakVisor\frontend\Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 9, 3, 23
"c:\Users\yongk\Desktop\programming\PeakVisor\PeakVisor\frontend\README.md", "Markdown", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 13, 25
"c:\Users\yongk\Desktop\programming\PeakVisor\PeakVisor\frontend\angular.json", "JSON", 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 103
"c:\Users\yongk\Desktop\programming\PeakVisor\PeakVisor\frontend\angular\angular\.angular\cache\15.0.0\babel-webpack\02208a6540e1cb92df78843d7048045452a69dfc304c449bc37e64f968910e2a.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\yongk\Desktop\programming\PeakVisor\PeakVisor\frontend\angular\angular\.angular\cache\15.0.0\babel-webpack\02d99f639f4a86e27ef937f1e19993c14ac0a64210191257334f534eb2d75416.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\yongk\Desktop\programming\PeakVisor\PeakVisor\frontend\angular\angular\.angular\cache\15.0.0\babel-webpack\03cb7cfb181d58ea09104fd5bf153bd8aa7fbd364f5b952ee4d2dd25284a71f2.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\yongk\Desktop\programming\PeakVisor\PeakVisor\frontend\angular\angular\.angular\cache\15.0.0\babel-webpack\0425d0fa15b5a8fe8a1107e424529ef1ef59a067502d788ab6dbfaf274c59400.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\yongk\Desktop\programming\PeakVisor\PeakVisor\frontend\angular\angular\.angular\cache\15.0.0\babel-webpack\0496d0603f0041ccef700173df508ba29114ddb41dea9d82c8390b7bdc8574e0.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\yongk\Desktop\programming\PeakVisor\PeakVisor\frontend\angular\angular\.angular\cache\15.0.0\babel-webpack\06ee017cce8e347958472b65efc7f06b5ff68c877f159c7d83065b51e828a5f8.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\yongk\Desktop\programming\PeakVisor\PeakVisor\frontend\angular\angular\.angular\cache\15.0.0\babel-webpack\07a2e49fe48002497962dc5729f4516e06a18cb8b0bf7c3bd36c2f2c1093a11a.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
